cell,x_m,y_m,depth_m,pressure_bar,H2_kg_m3_pore_fluid,gas_saturation,aqueous_H2_salt_free_mole_fraction,salinity_molal,darcy_x_m_day,darcy_y_m_day,darcy_z_m_day
0,0.3333333333333333,0.3333333333333333,0.19425019425019427,122.29515267661506,1.1207323346518726e-08,0.0,1.0810687599912358e-10,4.500000000000003,7.470546637861614,7.470546637861614,7.483795598080164
1,1.0,0.3333333333333333,0.19425019425019427,121.71106318648064,1.1207061527364159e-08,0.0,1.0810687599912357e-10,4.499999999999996,5.094747812407437,2.6132739586076665,1.2462110833725335
2,1.6666666666666667,0.3333333333333333,0.19425019425019427,121.49848041249162,1.1206966236756981e-08,0.0,1.081068759991236e-10,4.499999999999996,2.718948986953261,1.9850920624115964,0.42766902285812525
3,0.3333333333333333,1.0,0.19425019425019427,121.71106318648064,1.1207061527364159e-08,0.0,1.0810687599912357e-10,4.499999999999996,2.6132739586076665,5.094747812407437,1.2462110833725335
4,1.0,1.0,0.19425019425019427,121.50674268249921,1.1206969940334231e-08,0.0,1.0810687599912357e-10,4.499999999999996,2.3520205246824286,2.3520205246824286,0.6090072545235714
5,1.6666666666666667,1.0,0.19425019425019427,121.34327471379113,1.1206896665526025e-08,0.0,1.0810687599912361e-10,4.499999999999996,2.0907670907571907,2.285356901241607,0.8684518686143496
6,0.3333333333333333,1.6666666666666667,0.19425019425019427,121.49848041249162,1.1206966236756978e-08,0.0,1.0810687599912357e-10,4.499999999999996,1.9850920624115964,2.718948986953261,0.42766902285812525
7,1.0,1.6666666666666667,0.19425019425019427,121.34327471379113,1.1206896665526021e-08,0.0,1.0810687599912358e-10,4.499999999999996,2.285356901241607,2.0907670907571907,0.8684518686143496
8,1.6666666666666667,1.6666666666666667,0.19425019425019427,121.14111621628777,1.1206806047619345e-08,0.0,1.0810687599912357e-10,4.499999999999996,2.5856217400716175,2.5856217400716175,3.0135695190369165
9,0.3333333333333333,0.3333333333333333,0.5827505827505828,121.99875003696988,1.120719048350744e-08,0.0,1.081068759991236e-10,4.499999999999996,3.8356007065442643,3.8356007065442643,5.2486414119318425
10,1.0,0.3333333333333333,0.5827505827505828,121.6988611306226,1.1207056057770883e-08,0.0,1.081068759991236e-10,4.499999999999996,3.0387741267169,2.2419473845110662,1.0573278741280907
11,1.6666666666666667,0.3333333333333333,0.5827505827505828,121.5235730207895,1.1206977484563354e-08,0.0,1.0810687599912357e-10,4.499999999999996,2.2419475468895356,2.241962291119094,0.4276690921265388
12,0.3333333333333333,1.0,0.5827505827505828,121.6988611306226,1.1207056057770883e-08,0.0,1.081068759991236e-10,4.499999999999996,2.2419473845110662,3.0387741267169,1.0573278741280907
13,1.0,1.0,0.5827505827505828,121.52357303348516,1.1206977484569045e-08,0.0,1.0810687599912357e-10,4.499999999999996,2.241954919004315,2.241954919004315,0.6090074280501035
14,1.6666666666666667,1.0,0.5827505827505828,121.34828375816933,1.120689891083909e-08,0.0,1.081068759991236e-10,4.499999999999996,2.2419624534975635,3.0388291583676876,1.0573387736505966
15,0.3333333333333333,1.6666666666666667,0.5827505827505828,121.5235730207895,1.1206977484563356e-08,0.0,1.0810687599912358e-10,4.499999999999996,2.241962291119094,2.2419475468895356,0.4276690921265388
16,1.0,1.6666666666666667,0.5827505827505828,121.34828375816933,1.120689891083909e-08,0.0,1.081068759991236e-10,4.499999999999996,3.0388291583676876,2.2419624534975635,1.0573387736505966
17,1.6666666666666667,1.6666666666666667,0.5827505827505828,121.04838739923915,1.1206764481761898e-08,0.0,1.0810687599912358e-10,4.499999999999996,3.835696025616281,3.835696025616281,5.24885601453742
18,0.3333333333333333,0.3333333333333333,0.9712509712509713,121.90602649861565,1.1207148920016173e-08,0.0,1.0810687599912357e-10,4.499999999999996,2.5855816287266746,2.5855816287266746,3.0134872257835204
19,1.0,0.3333333333333333,0.9712509712509713,121.70387113724357,1.1207058303515275e-08,0.0,1.081068759991236e-10,4.499999999999996,2.2853353812784167,2.090764147353218,0.868444664883648
20,1.6666666666666667,0.3333333333333333,0.9712509712509713,121.5486656675161,1.1206988732386959e-08,0.0,1.081068759991236e-10,4.499999999999996,1.9850891338301586,2.718981001333826,0.4276691613949523
21,0.3333333333333333,1.0,0.9712509712509713,121.70387113724357,1.1207058303515275e-08,0.0,1.081068759991236e-10,4.499999999999996,2.090764147353218,2.2853353812784167,0.868444664883648
22,1.0,1.0,0.9712509712509713,121.54040339866742,1.1206985028810225e-08,0.0,1.081068759991236e-10,4.499999999999996,2.3520350675819923,2.3520350675819923,0.6090076015766358
23,1.6666666666666667,1.0,0.9712509712509713,121.33608039046216,1.1206893440657775e-08,0.0,1.0810687599912361e-10,4.499999999999996,2.613305987810766,5.094918387757364,1.2462256786868433
24,0.3333333333333333,1.6666666666666667,0.9712509712509713,121.5486656675161,1.1206988732386959e-08,0.0,1.081068759991236e-10,4.499999999999996,2.718981001333826,1.9850891338301586,0.4276691613949523
25,1.0,1.6666666666666667,0.9712509712509713,121.33608039046216,1.1206893440657775e-08,0.0,1.0810687599912361e-10,4.499999999999996,5.094918387757364,2.613305987810766,1.2462256786868433
26,1.6666666666666667,1.6666666666666667,0.9712509712509713,120.75196673030594,1.1206631610668946e-08,0.0,1.0810687599912361e-10,4.499999999999996,7.470855774180902,7.470855774180902,7.484142510037924
