reading_no,csv_line,sample,subgroup,subgroup_provenance,timestamp,units,sigma_value_metadata,duration_reported,duration_unit,Ag_ppm,Ag_reported_2sigma_ppm,Ag_status,Ag_detection_limit_ppm,As_ppm,As_reported_2sigma_ppm,As_status,As_detection_limit_ppm,Au_ppm,Au_reported_2sigma_ppm,Au_status,Au_detection_limit_ppm,Bal_ppm,Bal_reported_2sigma_ppm,Bal_status,Bal_detection_limit_ppm,Bi_ppm,Bi_reported_2sigma_ppm,Bi_status,Bi_detection_limit_ppm,Cd_ppm,Cd_reported_2sigma_ppm,Cd_status,Cd_detection_limit_ppm,Co_ppm,Co_reported_2sigma_ppm,Co_status,Co_detection_limit_ppm,Cr_ppm,Cr_reported_2sigma_ppm,Cr_status,Cr_detection_limit_ppm,Cu_ppm,Cu_reported_2sigma_ppm,Cu_status,Cu_detection_limit_ppm,Fe_ppm,Fe_reported_2sigma_ppm,Fe_status,Fe_detection_limit_ppm,Hf_ppm,Hf_reported_2sigma_ppm,Hf_status,Hf_detection_limit_ppm,Hg_ppm,Hg_reported_2sigma_ppm,Hg_status,Hg_detection_limit_ppm,Mn_ppm,Mn_reported_2sigma_ppm,Mn_status,Mn_detection_limit_ppm,Mo_ppm,Mo_reported_2sigma_ppm,Mo_status,Mo_detection_limit_ppm,Nb_ppm,Nb_reported_2sigma_ppm,Nb_status,Nb_detection_limit_ppm,Ni_ppm,Ni_reported_2sigma_ppm,Ni_status,Ni_detection_limit_ppm,Pb_ppm,Pb_reported_2sigma_ppm,Pb_status,Pb_detection_limit_ppm,Pd_ppm,Pd_reported_2sigma_ppm,Pd_status,Pd_detection_limit_ppm,Rb_ppm,Rb_reported_2sigma_ppm,Rb_status,Rb_detection_limit_ppm,Re_ppm,Re_reported_2sigma_ppm,Re_status,Re_detection_limit_ppm,Sb_ppm,Sb_reported_2sigma_ppm,Sb_status,Sb_detection_limit_ppm,Se_ppm,Se_reported_2sigma_ppm,Se_status,Se_detection_limit_ppm,Sn_ppm,Sn_reported_2sigma_ppm,Sn_status,Sn_detection_limit_ppm,Sr_ppm,Sr_reported_2sigma_ppm,Sr_status,Sr_detection_limit_ppm,Ta_ppm,Ta_reported_2sigma_ppm,Ta_status,Ta_detection_limit_ppm,Th_ppm,Th_reported_2sigma_ppm,Th_status,Th_detection_limit_ppm,Ti_ppm,Ti_reported_2sigma_ppm,Ti_status,Ti_detection_limit_ppm,U_ppm,U_reported_2sigma_ppm,U_status,U_detection_limit_ppm,V_ppm,V_reported_2sigma_ppm,V_status,V_detection_limit_ppm,W_ppm,W_reported_2sigma_ppm,W_status,W_detection_limit_ppm,Y_ppm,Y_reported_2sigma_ppm,Y_status,Y_detection_limit_ppm,Zn_ppm,Zn_reported_2sigma_ppm,Zn_status,Zn_detection_limit_ppm,Zr_ppm,Zr_reported_2sigma_ppm,Zr_status,Zr_detection_limit_ppm,reactive_ferrous_Fe_mol_per_kg_rock,magnetite_H2_mol_per_kg_rock,ferric_ceiling_H2_mol_per_kg_rock,magnetite_H2_kg_per_tonne_rock,ferric_ceiling_H2_kg_per_tonne_rock
4458,2,sample1,all,"Original notebook cell 6 row-order assumption, mapped to Reading No; not independently verified","Fri Jun 20, 2025 - 03:47:06",ppm,1.5,19.58,not stated by export; not reaction exposure,,9.9941,below_detection,,1.8086,1.357,detected,,,4.5838,below_detection,,934843.0625,491.3696,detected,,,1.921,below_detection,,,11.801,below_detection,,,114.3515,below_detection,,1349.3251,61.4872,detected,,,10.4489,below_detection,,60300.2773,173.4674,detected,,,0.0,below_detection,,,2.5515,below_detection,,889.7454,44.0887,detected,,,1.4364,below_detection,,,1.1358,below_detection,,2563.5601,31.7147,detected,,10.6811,1.343,detected,,,10.2633,below_detection,,,0.9204,below_detection,,,0.0,below_detection,,,20.7674,below_detection,,,1.2206,below_detection,,,13.5329,below_detection,,,0.4163,below_detection,,,0.0,below_detection,,,1.6377,below_detection,,,160.2539,below_detection,,,1.7144,below_detection,,,95.3618,below_detection,,,0.0,below_detection,,,0.8223,below_detection,,41.5116,3.239,detected,,,0.9262,below_detection,,1.0797793410332168,0.3599264470110723,0.5398896705166084,0.7255685260006804,1.0883527890010205
4459,3,sample1,all,"Original notebook cell 6 row-order assumption, mapped to Reading No; not independently verified","Fri Jun 20, 2025 - 03:53:44",ppm,1.5,19.69,not stated by export; not reaction exposure,,16.4039,below_detection,,1.7539,1.2934,detected,,,4.8974,below_detection,,937562.1875,489.9675,detected,,,1.9378,below_detection,,,11.9304,below_detection,,,143.482,below_detection,,1421.1337,63.2083,detected,,,10.5668,below_detection,,57639.5977,171.491,detected,,,0.0,below_detection,,,2.6997,below_detection,,826.8312,43.5681,detected,,,1.4355,below_detection,,,1.1439,below_detection,,2483.9905,31.3326,detected,,7.6366,1.2731,detected,,18.8422,6.9982,detected,,,1.0091,below_detection,,,0.0,below_detection,,,21.1347,below_detection,,,1.2434,below_detection,,,13.7616,below_detection,,,0.419,below_detection,,,0.0,below_detection,,,1.6828,below_detection,,,176.7738,below_detection,,,2.324,below_detection,,,89.9758,below_detection,,,0.0,below_detection,,,0.8141,below_detection,,38.0462,3.1774,detected,,,0.9248,below_detection,,1.0321353335124004,0.3440451111708001,0.5160676667562002,0.6935536587069925,1.040330488060489
4460,4,sample1,all,"Original notebook cell 6 row-order assumption, mapped to Reading No; not independently verified","Fri Jun 20, 2025 - 03:54:25",ppm,1.5,20.61,not stated by export; not reaction exposure,,13.2651,below_detection,,,2.6761,below_detection,,,4.8028,below_detection,,938113.125,477.979,detected,,,1.9617,below_detection,,,11.7576,below_detection,,,93.0647,below_detection,,1618.3677,65.7341,detected,,,13.4183,below_detection,,56946.7031,168.4424,detected,,,0.0,below_detection,,,2.592,below_detection,,832.8832,43.6529,detected,,,1.4151,below_detection,,,1.1521,below_detection,,2427.9351,30.6077,detected,,9.1545,1.3053,detected,,15.704,6.8916,detected,,,1.0834,below_detection,,,0.0,below_detection,,,20.8217,below_detection,,,1.2758,below_detection,,,13.5343,below_detection,,,0.4253,below_detection,,,0.0,below_detection,,,1.7177,below_detection,,,173.2841,below_detection,,,1.7179,below_detection,,,88.8819,below_detection,,,0.0,below_detection,,,0.8137,below_detection,,36.1299,3.0966,detected,,,0.9128,below_detection,,1.0197278735786552,0.3399092911928851,0.5098639367893276,0.6852163419299132,1.0278245128948698
4461,5,sample1,all,"Original notebook cell 6 row-order assumption, mapped to Reading No; not independently verified","Fri Jun 20, 2025 - 03:55:29",ppm,1.5,19.07,not stated by export; not reaction exposure,,11.9108,below_detection,,,3.2773,below_detection,,,4.5002,below_detection,,934283.8125,515.4212,detected,,,1.9767,below_detection,,,12.0714,below_detection,,,137.6134,below_detection,,3478.2642,90.9991,detected,,,10.7308,below_detection,,58844.25,175.0654,detected,,,0.0,below_detection,,,2.6363,below_detection,,808.286,48.1862,detected,,,1.4485,below_detection,,,1.1628,below_detection,,2517.3945,31.9303,detected,,15.4051,1.4788,detected,,,15.9358,below_detection,,,1.1142,below_detection,,,0.0,below_detection,,,21.3543,below_detection,,,1.227,below_detection,,,13.8842,below_detection,,,0.4397,below_detection,,,0.0,below_detection,,,1.6865,below_detection,,,176.9845,below_detection,,,1.7873,below_detection,,,88.4875,below_detection,,,0.0,below_detection,,,0.8213,below_detection,,52.581,3.5474,detected,,,0.9367,below_detection,,1.053706688154714,0.35123556271823797,0.526853344077357,0.7080487461724415,1.062073119258662
4462,6,sample1,all,"Original notebook cell 6 row-order assumption, mapped to Reading No; not independently verified","Fri Jun 20, 2025 - 03:56:05",ppm,1.5,20.28,not stated by export; not reaction exposure,,9.9318,below_detection,,1.79,1.4823,detected,,,4.4156,below_detection,,934971.9375,493.845,detected,,,1.7217,below_detection,,,11.7058,below_detection,,,107.7674,below_detection,,3183.4414,85.1123,detected,,,10.3221,below_detection,,58530.9141,169.2201,detected,,,0.0,below_detection,,,2.5127,below_detection,,785.0126,45.8452,detected,,,1.3997,below_detection,,,1.1283,below_detection,,2460.4902,30.6176,detected,,17.8994,1.4929,detected,,,16.5176,below_detection,,,0.9258,below_detection,,,0.0,below_detection,,,20.6823,below_detection,,,1.2222,below_detection,,,13.4263,below_detection,,,0.4143,below_detection,,,0.0,below_detection,,,1.5777,below_detection,,,168.6534,below_detection,,,1.6595,below_detection,,,84.8553,below_detection,,,0.0,below_detection,,,0.8055,below_detection,,48.5556,3.3515,detected,,,0.911,below_detection,,1.0480958742949233,0.34936529143164113,0.5240479371474617,0.7042785036912167,1.056417755536825
4463,7,sample2,all,"Original notebook cell 6 row-order assumption, mapped to Reading No; not independently verified","Fri Jun 20, 2025 - 03:57:29",ppm,1.5,19.72,not stated by export; not reaction exposure,20.19,17.7609,detected,,2.2236,1.4049,detected,,,4.7915,below_detection,,937471.25,525.038,detected,,,2.0021,below_detection,,25.2674,10.1103,detected,,,141.5077,below_detection,,1130.9628,60.5069,detected,,,10.8473,below_detection,,57853.0664,177.5747,detected,,,0.0,below_detection,,,2.8102,below_detection,,838.3421,44.683,detected,,,1.4968,below_detection,,,1.1876,below_detection,,2512.5864,32.6518,detected,,9.3852,1.3808,detected,,52.4375,7.4399,detected,,,0.9795,below_detection,,,0.0,below_detection,,18.6382,14.7305,detected,,,1.3056,below_detection,,26.7769,9.5697,detected,,,0.527,below_detection,,,0.0,below_detection,,,1.7882,below_detection,,,235.6777,below_detection,,,1.8319,below_detection,,,105.6678,below_detection,,,0.0,below_detection,,,0.8663,below_detection,,38.9108,3.3159,detected,,,0.9602,below_detection,,1.035957854776614,0.345319284925538,0.517978927388307,0.6961222400956935,1.0441833601435402
4464,8,sample2,all,"Original notebook cell 6 row-order assumption, mapped to Reading No; not independently verified","Fri Jun 20, 2025 - 03:58:15",ppm,1.5,19.28,not stated by export; not reaction exposure,,9.8842,below_detection,,,3.843,below_detection,,,4.4258,below_detection,,955512.4375,401.0874,detected,,,1.7186,below_detection,,,11.7636,below_detection,,,128.2282,below_detection,,1317.2527,64.9789,detected,,,15.0753,below_detection,,40883.0391,156.0959,detected,,,0.0,below_detection,,,2.5211,below_detection,,587.1374,40.6486,detected,,,1.9135,below_detection,,,1.1411,below_detection,,1595.4385,25.6675,detected,,25.9456,1.6796,detected,,31.2194,6.9616,detected,,,1.0829,below_detection,,,0.0,below_detection,,,20.6522,below_detection,,,1.1623,below_detection,,,13.3819,below_detection,,,0.4236,below_detection,,,0.0,below_detection,,,2.5383,below_detection,,,176.1843,below_detection,,,1.6519,below_detection,,,90.3557,below_detection,,,0.0,below_detection,,,0.8509,below_detection,,47.4935,3.3999,detected,,,0.939,below_detection,,0.7320805640612409,0.2440268546870803,0.36604028203062045,0.49192885582659146,0.737893283739887
4465,9,sample2,all,"Original notebook cell 6 row-order assumption, mapped to Reading No; not independently verified","Fri Jun 20, 2025 - 03:58:43",ppm,1.5,19.65,not stated by export; not reaction exposure,12.4292,10.9342,detected,,1.9114,1.3849,detected,,,4.8509,below_detection,,937844.4375,503.935,detected,,,1.9216,below_detection,,19.6618,8.2419,detected,,,136.3018,below_detection,,1225.2118,61.3542,detected,,,10.579,below_detection,,57416.3047,175.2537,detected,,,0.0,below_detection,,,2.7333,below_detection,,909.2587,45.5351,detected,,,1.4656,below_detection,,,1.1912,below_detection,,2484.5,32.1165,detected,,10.0072,1.3659,detected,,39.8032,7.2831,detected,,,0.9605,below_detection,,,0.0,below_detection,,,24.3004,below_detection,,,1.2111,below_detection,,,22.9325,below_detection,,,0.4499,below_detection,,,0.0,below_detection,,,1.7304,below_detection,,,184.3791,below_detection,,,1.8139,below_detection,,,89.263,below_detection,,,0.0,below_detection,,,0.8419,below_detection,,36.4527,3.2138,detected,,,0.9328,below_detection,,1.0281368913958278,0.34271229713194257,0.5140684456979139,0.6908668655423403,1.0363002983135106
4466,10,sample2,all,"Original notebook cell 6 row-order assumption, mapped to Reading No; not independently verified","Fri Jun 20, 2025 - 03:59:15",ppm,1.5,19.89,not stated by export; not reaction exposure,,9.8623,below_detection,,,2.4666,below_detection,,,4.7756,below_detection,,947703.375,431.9966,detected,,,1.9869,below_detection,,,11.6578,below_detection,,,121.6718,below_detection,,1031.5261,57.0902,detected,,,10.9028,below_detection,,48484.0,161.4365,detected,,,0.0,below_detection,,,2.4994,below_detection,,685.0085,40.4665,detected,,,1.4114,below_detection,,,1.1358,below_detection,,2004.6478,28.0236,detected,,26.3278,1.6556,detected,,23.467,6.8728,detected,,,0.9017,below_detection,,,0.0,below_detection,,,20.5101,below_detection,,,1.1949,below_detection,,,13.3404,below_detection,,,0.419,below_detection,,,0.0,below_detection,,,1.7331,below_detection,,,175.0167,below_detection,,,1.6898,below_detection,,,84.2811,below_detection,,,0.0,below_detection,,,0.8109,below_detection,,41.6115,3.2126,detected,,,0.9191,below_detection,,0.8681887366818873,0.2893962455606291,0.43409436834094367,0.5833881035007609,0.8750821552511415
4467,11,sample2,all,"Original notebook cell 6 row-order assumption, mapped to Reading No; not independently verified","Fri Jun 20, 2025 - 03:59:43",ppm,1.5,19.95,not stated by export; not reaction exposure,17.3121,15.2296,detected,,2.8166,1.3754,detected,,,4.9675,below_detection,,936423.8125,514.1257,detected,,,2.1492,below_detection,,19.1167,8.2542,detected,,,127.5774,below_detection,,2137.876,75.6802,detected,,,10.6295,below_detection,,58030.8008,175.5792,detected,,,0.0,below_detection,,,2.7547,below_detection,,868.3881,46.8487,detected,,,1.4773,below_detection,,,1.1777,below_detection,,2407.0261,31.6178,detected,,7.8377,1.3214,detected,,43.8887,7.3062,detected,,,0.9596,below_detection,,,0.0,below_detection,,,33.4273,below_detection,,,1.3198,below_detection,,,18.5365,below_detection,,,0.4337,below_detection,,,0.0,below_detection,,,1.8296,below_detection,,,181.5206,below_detection,,,1.7926,below_detection,,,93.951,below_detection,,,0.0,below_detection,,,0.8218,below_detection,,41.135,3.3303,detected,,,0.9453,below_detection,,1.0391404924344168,0.3463801641448056,0.5195702462172084,0.6982608452962307,1.047391267944346
4468,12,sample3,all,"Original notebook cell 6 row-order assumption, mapped to Reading No; not independently verified","Fri Jun 20, 2025 - 04:00:48",ppm,1.5,19.41,not stated by export; not reaction exposure,63.8734,56.1688,detected,,,3.9428,below_detection,,5.2372,4.1729,detected,,921032.1875,679.7582,detected,,,2.5057,below_detection,,97.3914,38.9558,detected,,,146.2242,below_detection,,427.0059,48.9119,detected,,,16.9976,below_detection,,73466.5312,208.2967,detected,,,0.0,below_detection,,,4.2804,below_detection,,1009.1534,50.0061,detected,,,1.6784,below_detection,,,1.3335,below_detection,,3180.0505,40.7877,detected,,17.0867,1.7694,detected,,110.8134,8.6074,detected,,,1.14,below_detection,,,0.0,below_detection,,149.6776,121.7533,detected,,,1.5697,below_detection,,219.3712,11.211,detected,,,0.5154,below_detection,,,0.0,below_detection,,,2.1373,below_detection,,156.1193,127.0419,detected,,,2.0753,below_detection,,,103.1059,below_detection,,,0.0,below_detection,,,0.9925,below_detection,,65.4777,4.4335,detected,,,1.1618,below_detection,,1.3155435795505415,0.43851452651684714,0.6577717897752707,0.8839926637147817,1.3259889955721726
