sample,subgroup,n_readings,reading_numbers,Fe_n_detected,Fe_n_below_detection,Fe_n_missing,Fe_mean_ppm,Fe_sample_sd_ppm,Fe_sem_ppm,Fe_min_ppm,Fe_max_ppm,Fe_mean_reported_2sigma_ppm,Fe_nominal_instrument_1sigma_mean_ppm,Bal_n_detected,Bal_n_below_detection,Bal_n_missing,Bal_mean_ppm,Bal_sample_sd_ppm,Bal_sem_ppm,Bal_min_ppm,Bal_max_ppm,Bal_mean_reported_2sigma_ppm,Bal_nominal_instrument_1sigma_mean_ppm,Fe_mean_wt_percent,Fe_sample_sd_wt_percent,Fe_sem_wt_percent,Fe_nominal_instrument_1sigma_mean_wt_percent,mean_readwise_Fe_to_Bal,legacy_assumption_Mg_number_mean,reactive_ferrous_Fe_mol_per_kg_rock,magnetite_H2_mol_per_kg_rock,ferric_ceiling_H2_mol_per_kg_rock,magnetite_H2_kg_per_tonne_rock,ferric_ceiling_H2_kg_per_tonne_rock,magnetite_H2_sample_sd_kg_per_tonne_rock,ferric_ceiling_H2_sample_sd_kg_per_tonne_rock,magnetite_H2_sem_kg_per_tonne_rock,ferric_ceiling_H2_sem_kg_per_tonne_rock,magnetite_H2_nominal_instrument_1sigma_mean_kg_per_tonne_rock,ferric_ceiling_H2_nominal_instrument_1sigma_mean_kg_per_tonne_rock,capacity_assumption,subgroup_provenance
sample1,all,5,4458 4459 4460 4461 4462,5,0,0,58452.348439999994,1274.9639330699558,570.1812046409826,56946.7031,60300.2773,171.53726,38.36095418295666,5,0,0,935954.825,1749.0168356554632,782.1841076634387,934283.8125,938113.125,493.71646,110.43179147038457,5.845234843999999,0.12749639330699558,0.057018120464098265,0.003836095418295666,0.06245395374328744,0.9270682983906221,1.0466890221147818,0.34889634070492725,0.5233445110573909,0.7033331553002486,1.0549997329503729,0.015341118532826346,0.023011677799239523,0.00686075677805631,0.010291135167084466,0.0004615816415575173,0.0006923724623362759,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample2,all,5,4463 4464 4465 4466 4467,5,0,0,52533.442200000005,7656.558853750102,3424.1172141426196,40883.0391,58030.8008,169.18800000000002,37.881705669819034,5,0,0,942991.0625,8352.777569116792,3735.4756890961185,936423.8125,955512.4375,475.23654000000005,106.83785779955576,5.253344220000001,0.7656558853750102,0.34241172141426196,0.0037881705669819033,0.05577000570780891,0.9344357640207509,0.9407009078699974,0.3135669692899991,0.4703504539349987,0.6321133820523234,0.9481700730784851,0.09212823506788284,0.13819235260182428,0.041200999251773195,0.0618014988776598,0.00045581504059256147,0.0006837225608888422,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample3,all,6,4468 4469 4470 4471 4472 4473,6,0,0,73052.26561666666,4670.577463105691,1906.755264791945,65852.3359,78707.5547,207.47439999999997,42.351262312920234,6,0,0,921413.7604166666,4761.323724064406,1943.8022706943277,915573.9375,928707.125,681.6488666666668,139.1754384852647,7.305226561666665,0.4670577463105691,0.1906755264791945,0.004235126231292023,0.07930633530270229,0.9092031694980048,1.3081254475184287,0.43604181583947627,0.6540627237592144,0.8790079757144834,1.3185119635717248,0.05619914463440773,0.08429871695161159,0.02294320472252834,0.03441480708379251,0.0005095953840771757,0.0007643930761157636,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample4,big grains,5,4474 4475 4476 4477 4478,5,0,0,45083.9578,2123.5233253348742,949.668501451036,42736.6523,47478.918,159.44099999999997,35.65782686225565,5,0,0,950411.4125,2100.7734060377916,939.4944282448538,948050.625,952811.5625,400.64566,89.69132921362744,4.50839578,0.21235233253348743,0.0949668501451036,0.0035657826862255646,0.04743935970627198,0.9436172114652578,0.8073051804100635,0.2691017268033545,0.40365259020503175,0.5424767890283462,0.8137151835425193,0.025551485964580928,0.03832722894687139,0.011426971908586948,0.01714045786288042,0.00042905601823549653,0.0006435840273532449,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample4,small grains,5,4479 4480 4481 4482 4483,5,0,0,54187.08438,3589.3249178816222,1605.1949019434314,49245.2578,58250.0469,159.43464,35.660499940407455,5,0,0,941956.375,3817.1416588016973,1707.0776457653806,937713.0625,947284.5625,407.08364,91.16200675850767,5.418708438,0.3589324917881622,0.16051949019434314,0.0035660499940407455,0.05753919741790385,0.9324345290263327,0.9703121923180231,0.323437397439341,0.48515609615901156,0.6520109807500187,0.9780164711250281,0.043188875849578916,0.06478331377436838,0.019314652454291488,0.028971978681437225,0.0004290881822894832,0.0006436322734342248,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample4,mixed grains,5,4484 4485 4486 4487 4488,5,0,0,53540.45704000001,5588.153446139368,2499.098194853467,45523.0625,59878.4922,162.80509999999998,36.434548293323196,5,0,0,942264.475,6078.617624734621,2718.440443626984,935605.9375,951255.25,415.99588000000006,93.20817181790338,5.354045704000001,0.5588153446139368,0.24990981948534668,0.00364345482933232,0.05685327760968924,0.9332103181727017,0.9587332266093653,0.3195777422031218,0.47936661330468266,0.6442303789524291,0.9663455684286436,0.06723996042023116,0.10085994063034673,0.030070624460806435,0.04510593669120965,0.00043840198891899817,0.0006576029833784973,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample5,weathered surface,5,4489 4490 4491 4492 4493,5,0,0,61590.511719999995,7384.957544750297,3302.6534162023218,56083.0781,72803.3516,184.93810000000002,41.37260982318979,5,0,0,932117.2125,8157.706220170556,3648.2371297548457,919637.3125,938009.75,563.7823000000001,126.3964006254652,6.159051172,0.7384957544750297,0.3302653416202322,0.004137260982318979,0.06613579888182781,0.9231696883692007,1.1028831895424835,0.36762772984749453,0.5514415947712418,0.7410933880449672,1.1116400820674508,0.088860167817538,0.13329025172630699,0.03973947514641082,0.05960921271961622,0.0004978196597151153,0.0007467294895726729,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample5,fresh surface,5,4494 4495 4496 4497 4498,5,0,0,59187.04059999999,1964.6813898216358,878.6322283539881,57288.9453,62028.2656,165.95076,37.11185292357686,5,0,0,935817.475,1807.4125360278501,808.2994587887121,933091.1875,937538.3125,446.23126,99.81309323352474,5.91870406,0.1964681389821636,0.08786322283539881,0.0037111852923576863,0.06324974459193511,0.9262103736068527,1.0598449386695317,0.3532816462231772,0.5299224693347658,0.7121734049883784,1.0682601074825677,0.023640206047176045,0.03546030907076407,0.010572221544717446,0.01585833231707617,0.0004465517179788111,0.0006698275769682168,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample6,all,5,4499 4500 4501 4502 4503,5,0,0,65929.2125,5587.20843612207,2498.675573525848,59112.957,74679.2422,173.00702,38.69219433849546,5,0,0,926253.0875,6264.9584459353655,2801.7745922645836,916962.25,933744.9375,515.298,115.47242404601454,6.59292125,0.5587208436122071,0.2498675573525848,0.0038692194338495463,0.07121273873672791,0.9177211865177988,1.1805750290983972,0.39352500969946574,0.5902875145491986,0.7932991965529589,1.1899487948294383,0.06722858950195339,0.10084288425293006,0.0300655392315593,0.04509830884733894,0.00046556731860856673,0.00069835097791285,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample7,dark big grains,5,4504 4505 4506 4507 4508,5,0,0,63780.36174,5953.793467624921,2662.6173835207032,54733.2344,69407.2266,175.60952,39.29934373489969,5,0,0,928069.9,7359.100201557423,3291.0896607829604,921519.5,939800.125,526.9661,118.49599651235185,6.378036174,0.595379346762492,0.26626173835207034,0.003929934373489969,0.06876741162136642,0.9203286981079275,1.1420961901692184,0.38069873005640614,0.5710480950846092,0.767442955946108,1.151164433919162,0.07163955696132583,0.10745933544198877,0.03203818384869856,0.048057275773047844,0.0004728728984887312,0.0007093093477330969,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
sample7,light green grains,5,4509 4510 4511 4512 4513,5,0,0,62682.70546000001,4215.8001706912255,1885.3631522441592,56327.5234,66552.8984,171.62142,38.37874726701877,5,0,0,932005.2625,4720.767655025438,2111.191476523831,927526.0625,939386.875,476.48297999999994,106.5486037668148,6.268270546000001,0.42158001706912257,0.1885363152244159,0.003837874726701877,0.06727532541854159,0.9218990614202415,1.122440781806787,0.374146927268929,0.5612203909033935,0.7542353077428886,1.1313529616143327,0.05072699584023056,0.07609049376034585,0.022685802198620916,0.034028703297931374,0.00046179573844652033,0.0006926936076697805,"All elemental Fe is ferrous and accessible; conditional stoichiometry, not observed H2",Original notebook positional labels mapped to Reading No; no independent laboratory confirmation
