Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,
4458,Mining,19.58,19.22,,,,"Fri Jun 20, 2025 - 03:47:06",User,1.5,ppm,,,,,sample1,Mining,<LOD,9.9941,1.8086 , 1.3570,<LOD,4.5838,934843.0625 , 491.3696,<LOD,1.9210,<LOD,11.8010,<LOD,114.3515,1349.3251 , 61.4872,<LOD,10.4489,60300.2773 , 173.4674,<LOD,0.0000,<LOD,2.5515,889.7454 , 44.0887,<LOD,1.4364,<LOD,1.1358,2563.5601 , 31.7147,10.6811 , 1.3430,<LOD,10.2633,<LOD,0.9204,<LOD,0.0000,<LOD,20.7674,<LOD,1.2206,<LOD,13.5329,<LOD,0.4163,<LOD,0.0000,<LOD,1.6377,<LOD,160.2539,<LOD,1.7144,<LOD,95.3618,<LOD,0.0000,<LOD,0.8223,41.5116 , 3.2390,<LOD,0.9262,
4459,Mining,19.69,19.38,,,,"Fri Jun 20, 2025 - 03:53:44",User,1.5,ppm,,,,,sample1,Mining,<LOD,16.4039,1.7539 , 1.2934,<LOD,4.8974,937562.1875 , 489.9675,<LOD,1.9378,<LOD,11.9304,<LOD,143.4820,1421.1337 , 63.2083,<LOD,10.5668,57639.5977 , 171.4910,<LOD,0.0000,<LOD,2.6997,826.8312 , 43.5681,<LOD,1.4355,<LOD,1.1439,2483.9905 , 31.3326,7.6366 , 1.2731,18.8422 , 6.9982,<LOD,1.0091,<LOD,0.0000,<LOD,21.1347,<LOD,1.2434,<LOD,13.7616,<LOD,0.4190,<LOD,0.0000,<LOD,1.6828,<LOD,176.7738,<LOD,2.3240,<LOD,89.9758,<LOD,0.0000,<LOD,0.8141,38.0462 , 3.1774,<LOD,0.9248,
4460,Mining,20.61,19.91,,,,"Fri Jun 20, 2025 - 03:54:25",User,1.5,ppm,,,,,sample1,Mining,<LOD,13.2651,<LOD,2.6761,<LOD,4.8028,938113.1250 , 477.9790,<LOD,1.9617,<LOD,11.7576,<LOD,93.0647,1618.3677 , 65.7341,<LOD,13.4183,56946.7031 , 168.4424,<LOD,0.0000,<LOD,2.5920,832.8832 , 43.6529,<LOD,1.4151,<LOD,1.1521,2427.9351 , 30.6077,9.1545 , 1.3053,15.7040 , 6.8916,<LOD,1.0834,<LOD,0.0000,<LOD,20.8217,<LOD,1.2758,<LOD,13.5343,<LOD,0.4253,<LOD,0.0000,<LOD,1.7177,<LOD,173.2841,<LOD,1.7179,<LOD,88.8819,<LOD,0.0000,<LOD,0.8137,36.1299 , 3.0966,<LOD,0.9128,
4461,Mining,19.07,19.09,,,,"Fri Jun 20, 2025 - 03:55:29",User,1.5,ppm,,,,,sample1,Mining,<LOD,11.9108,<LOD,3.2773,<LOD,4.5002,934283.8125 , 515.4212,<LOD,1.9767,<LOD,12.0714,<LOD,137.6134,3478.2642 , 90.9991,<LOD,10.7308,58844.2500 , 175.0654,<LOD,0.0000,<LOD,2.6363,808.2860 , 48.1862,<LOD,1.4485,<LOD,1.1628,2517.3945 , 31.9303,15.4051 , 1.4788,<LOD,15.9358,<LOD,1.1142,<LOD,0.0000,<LOD,21.3543,<LOD,1.2270,<LOD,13.8842,<LOD,0.4397,<LOD,0.0000,<LOD,1.6865,<LOD,176.9845,<LOD,1.7873,<LOD,88.4875,<LOD,0.0000,<LOD,0.8213,52.5810 , 3.5474,<LOD,0.9367,
4462,Mining,20.28,19.54,,,,"Fri Jun 20, 2025 - 03:56:05",User,1.5,ppm,,,,,sample1,Mining,<LOD,9.9318,1.7900 , 1.4823,<LOD,4.4156,934971.9375 , 493.8450,<LOD,1.7217,<LOD,11.7058,<LOD,107.7674,3183.4414 , 85.1123,<LOD,10.3221,58530.9141 , 169.2201,<LOD,0.0000,<LOD,2.5127,785.0126 , 45.8452,<LOD,1.3997,<LOD,1.1283,2460.4902 , 30.6176,17.8994 , 1.4929,<LOD,16.5176,<LOD,0.9258,<LOD,0.0000,<LOD,20.6823,<LOD,1.2222,<LOD,13.4263,<LOD,0.4143,<LOD,0.0000,<LOD,1.5777,<LOD,168.6534,<LOD,1.6595,<LOD,84.8553,<LOD,0.0000,<LOD,0.8055,48.5556 , 3.3515,<LOD,0.9110,
4463,Mining,19.72,19.62,,,,"Fri Jun 20, 2025 - 03:57:29",User,1.5,ppm,,,,,sample2,Mining,20.1900 , 17.7609,2.2236 , 1.4049,<LOD,4.7915,937471.2500 , 525.0380,<LOD,2.0021,25.2674 , 10.1103,<LOD,141.5077,1130.9628 , 60.5069,<LOD,10.8473,57853.0664 , 177.5747,<LOD,0.0000,<LOD,2.8102,838.3421 , 44.6830,<LOD,1.4968,<LOD,1.1876,2512.5864 , 32.6518,9.3852 , 1.3808,52.4375 , 7.4399,<LOD,0.9795,<LOD,0.0000,18.6382 , 14.7305,<LOD,1.3056,26.7769 , 9.5697,<LOD,0.5270,<LOD,0.0000,<LOD,1.7882,<LOD,235.6777,<LOD,1.8319,<LOD,105.6678,<LOD,0.0000,<LOD,0.8663,38.9108 , 3.3159,<LOD,0.9602,
4464,Mining,19.28,19.25,,,,"Fri Jun 20, 2025 - 03:58:15",User,1.5,ppm,,,,,sample2,Mining,<LOD,9.8842,<LOD,3.8430,<LOD,4.4258,955512.4375 , 401.0874,<LOD,1.7186,<LOD,11.7636,<LOD,128.2282,1317.2527 , 64.9789,<LOD,15.0753,40883.0391 , 156.0959,<LOD,0.0000,<LOD,2.5211,587.1374 , 40.6486,<LOD,1.9135,<LOD,1.1411,1595.4385 , 25.6675,25.9456 , 1.6796,31.2194 , 6.9616,<LOD,1.0829,<LOD,0.0000,<LOD,20.6522,<LOD,1.1623,<LOD,13.3819,<LOD,0.4236,<LOD,0.0000,<LOD,2.5383,<LOD,176.1843,<LOD,1.6519,<LOD,90.3557,<LOD,0.0000,<LOD,0.8509,47.4935 , 3.3999,<LOD,0.9390,
4465,Mining,19.65,19.51,,,,"Fri Jun 20, 2025 - 03:58:43",User,1.5,ppm,,,,,sample2,Mining,12.4292 , 10.9342,1.9114 , 1.3849,<LOD,4.8509,937844.4375 , 503.9350,<LOD,1.9216,19.6618 , 8.2419,<LOD,136.3018,1225.2118 , 61.3542,<LOD,10.5790,57416.3047 , 175.2537,<LOD,0.0000,<LOD,2.7333,909.2587 , 45.5351,<LOD,1.4656,<LOD,1.1912,2484.5000 , 32.1165,10.0072 , 1.3659,39.8032 , 7.2831,<LOD,0.9605,<LOD,0.0000,<LOD,24.3004,<LOD,1.2111,<LOD,22.9325,<LOD,0.4499,<LOD,0.0000,<LOD,1.7304,<LOD,184.3791,<LOD,1.8139,<LOD,89.2630,<LOD,0.0000,<LOD,0.8419,36.4527 , 3.2138,<LOD,0.9328,
4466,Mining,19.89,19.72,,,,"Fri Jun 20, 2025 - 03:59:15",User,1.5,ppm,,,,,sample2,Mining,<LOD,9.8623,<LOD,2.4666,<LOD,4.7756,947703.3750 , 431.9966,<LOD,1.9869,<LOD,11.6578,<LOD,121.6718,1031.5261 , 57.0902,<LOD,10.9028,48484.0000 , 161.4365,<LOD,0.0000,<LOD,2.4994,685.0085 , 40.4665,<LOD,1.4114,<LOD,1.1358,2004.6478 , 28.0236,26.3278 , 1.6556,23.4670 , 6.8728,<LOD,0.9017,<LOD,0.0000,<LOD,20.5101,<LOD,1.1949,<LOD,13.3404,<LOD,0.4190,<LOD,0.0000,<LOD,1.7331,<LOD,175.0167,<LOD,1.6898,<LOD,84.2811,<LOD,0.0000,<LOD,0.8109,41.6115 , 3.2126,<LOD,0.9191,
4467,Mining,19.95,19.46,,,,"Fri Jun 20, 2025 - 03:59:43",User,1.5,ppm,,,,,sample2,Mining,17.3121 , 15.2296,2.8166 , 1.3754,<LOD,4.9675,936423.8125 , 514.1257,<LOD,2.1492,19.1167 , 8.2542,<LOD,127.5774,2137.8760 , 75.6802,<LOD,10.6295,58030.8008 , 175.5792,<LOD,0.0000,<LOD,2.7547,868.3881 , 46.8487,<LOD,1.4773,<LOD,1.1777,2407.0261 , 31.6178,7.8377 , 1.3214,43.8887 , 7.3062,<LOD,0.9596,<LOD,0.0000,<LOD,33.4273,<LOD,1.3198,<LOD,18.5365,<LOD,0.4337,<LOD,0.0000,<LOD,1.8296,<LOD,181.5206,<LOD,1.7926,<LOD,93.9510,<LOD,0.0000,<LOD,0.8218,41.1350 , 3.3303,<LOD,0.9453,
