scenario,mode,extent_mol,reactor_h2_mol,water_kg,salt_mol,export_h2_mol,export_water_kg,export_salt_mol,outlet_separator_gas_mol,flow_pump_kwh,feed_water_kg,feed_salt_mol,circulated_water_kg,time_days,altered_fraction_proxy,expansion_loading,crack_opening_fraction,porosity,area_factor,passivation_factor,pore_access_factor,permeability_ratio,generated_h2_kg,retained_h2_kg,dissolved_h2_kg,free_h2_kg,exported_h2_kg,outlet_collected_h2_kg,outlet_uncollected_gas_h2_kg,outlet_residual_dissolved_h2_kg,endpoint_collected_h2_kg,endpoint_residual_h2_kg,endpoint_uncollected_gas_h2_kg,salt_molality,water_consumed_kg,remaining_reactive_fe_kg,flow_head_bar,solid_mass_gain_kg,total_deliverable_h2_kg,gross_electricity_kwh,outlet_delivered_electricity_kwh,new_feed_heater_kwh,standalone_engineering_balance_kwh,h2_balance_error_kg,water_balance_error_kg,salt_balance_error_kg,hydrogen_recovery_balance_error_kg
no_feedback_null,stationary,20.069585568183406,20.069585568183406,19991.117087175644,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.005680902413907154,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.04045787615518956,0.04045787615518956,0.04045787615518956,0.0,0.0,0.0,0.0,0.0,0.0,0.04045787615518956,0.0,4.501999543473999,8.882912824355515,588.5080479818344,0.0,8.842454948200325,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,0.0,0.0,0.0
no_feedback_null,stationary,195.64221100785383,195.64221100785383,19913.40764365847,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.055378538086935186,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.39439122032651236,0.39439122032651236,0.39439122032651236,0.0,0.0,0.0,0.0,0.0,0.25831788275492423,0.10737135059881872,0.028701986972769353,4.5195680021475875,86.59235634152836,559.0934881787991,0.0,86.19796512120185,0.25831788275492423,4.3048675161108125,0.0,0.0,-903.4137477085604,0.0,-3.637978807091713e-12,0.0,5.551115123125783e-17
no_feedback_null,stationary,555.0234862276235,555.0234862276235,19754.343445365117,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.15710510074927603,0.0,0.0,0.35,1.0,1.0,1.0,1.0,1.1188607454165416,1.1188607454165416,1.1188607454165416,0.0,0.0,0.0,0.0,0.0,0.9115779509223424,0.10599635550282771,0.10128643899137135,4.555960072725998,245.65655463488082,498.8845462348551,0.0,244.53769388946426,0.9115779509223424,15.191446552120835,0.0,0.0,-892.5271686725505,0.0,-3.637978807091713e-12,0.0,0.0
no_feedback_null,stationary,1766.4082311158868,1766.4082311158868,19218.177661122125,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.5000000000000002,0.0,0.0,0.35,1.0,1.0,1.0,1.0,3.5608670249418934,3.5608670249418934,1.1955635818507173,2.365303443091176,0.0,0.0,0.0,0.0,3.1135025758823485,0.1014197184059507,0.3459447306535942,4.683066292079694,781.8223388778578,295.93520299999983,0.0,778.2614718529159,3.1135025758823485,51.88652042707933,0.0,0.0,-855.8320947975919,0.0,-1.8189894035458565e-11,0.0,0.0
no_feedback_null,recirculating,20.069585568183413,20.069585568183413,19991.117087175648,90000.0,0.0,0.0,0.0,0.0,4.283852517592859,0.0,0.0,20000.0,3.0,0.005680902413907156,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.04045787615518957,0.04045787615518957,0.04045787615518957,0.0,0.0,0.0,0.0,0.0,0.0,0.04045787615518957,0.0,4.501999543473998,8.882912824355516,588.5080479818344,5.0,8.842454948200327,0.0,0.0,0.0,0.0,-912.0024677422641,0.0,3.637978807091713e-12,0.0,0.0
no_feedback_null,recirculating,195.6422110078539,195.6422110078539,19913.40764365847,90000.0,0.0,0.0,0.0,0.0,42.856091661892044,0.0,0.0,199999.99999999997,30.0,0.05537853808693521,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.39439122032651247,0.39439122032651247,0.39439122032651247,0.0,0.0,0.0,0.0,0.0,0.25831788275492434,0.10737135059881872,0.028701986972769367,4.5195680021475875,86.59235634152837,559.0934881787991,5.0,86.19796512120186,0.25831788275492434,4.304867516110814,0.0,0.0,-946.2698393704525,0.0,-3.637978807091713e-12,0.0,5.551115123125783e-17
no_feedback_null,recirculating,555.0234862276233,555.0234862276233,19754.34344536512,90000.0,0.0,0.0,0.0,0.0,128.68006295578627,0.0,0.0,600000.0000000002,90.0,0.15710510074927597,0.0,0.0,0.35,1.0,1.0,1.0,1.0,1.1188607454165411,1.1188607454165411,1.1188607454165411,0.0,0.0,0.0,0.0,0.0,0.911577950922342,0.10599635550282784,0.10128643899137131,4.5559600727259975,245.65655463488073,498.8845462348551,5.0,244.53769388946418,0.911577950922342,15.191446552120828,0.0,0.0,-1021.2072316283368,0.0,0.0,0.0,0.0
no_feedback_null,recirculating,1766.4082311158868,1766.4082311158868,19218.17766112216,90000.0,0.0,0.0,0.0,0.0,523.609475290604,0.0,0.0,2433333.3333333354,365.0,0.5000000000000002,0.0,0.0,0.35,1.0,1.0,1.0,1.0,3.5608670249418934,3.5608670249418934,1.1955635818507209,2.3653034430911726,0.0,0.0,0.0,0.0,3.1135025758823485,0.1014197184059507,0.3459447306535942,4.683066292079685,781.8223388778578,295.93520299999983,5.0,778.2614718529159,3.1135025758823485,51.88652042707933,0.0,0.0,-1379.441570088196,0.0,1.8189894035458565e-11,0.0,0.0
no_feedback_null,once_through,20.069585568183413,12.678831586284119,19991.117087175644,89985.27964596129,7.390753981899297,20000.000000000007,90014.72035403871,0.0,106.23476968842556,20000.000000000007,89999.99999999996,0.0,3.0,0.005680902413907156,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.04045787615518957,0.025559003018158426,0.025559003018158426,0.0,0.014898873137031154,0.0,0.0,0.014898873137031154,0.0,0.025559003018158426,0.0,4.501263198727753,8.882912824355516,588.5080479818344,5.0,8.842454948200327,0.0,0.0,0.0,731.2062421052632,-1745.15962701836,-5.371383338115265e-18,0.0,2.5513640139251947e-12,-6.938893903907228e-18
no_feedback_null,once_through,195.64221100785383,19.04514370029332,19913.407643658466,89648.26709706069,176.59706730756056,199999.99999999997,900351.7329029393,0.0,1062.34972396142,199999.99999999997,900000.0,0.0,30.0,0.055378538086935186,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.39439122032651236,0.038392724282547294,0.038392724282547294,0.0,0.35599849604396516,0.0,0.0,0.35599849604396516,0.0,0.038392724282547294,0.0,4.501904882442844,86.59235634152836,559.0934881787991,5.0,86.19796512120185,0.0,0.0,0.0,7312.062421052629,-9282.13076023872,-1.1458951121312565e-16,0.0,0.0,-1.1102230246251565e-16
