scenario,mode,extent_mol,reactor_h2_mol,water_kg,salt_mol,export_h2_mol,export_water_kg,export_salt_mol,outlet_separator_gas_mol,flow_pump_kwh,feed_water_kg,feed_salt_mol,circulated_water_kg,time_days,altered_fraction_proxy,expansion_loading,crack_opening_fraction,porosity,area_factor,passivation_factor,pore_access_factor,permeability_ratio,generated_h2_kg,retained_h2_kg,dissolved_h2_kg,free_h2_kg,exported_h2_kg,outlet_collected_h2_kg,outlet_uncollected_gas_h2_kg,outlet_residual_dissolved_h2_kg,endpoint_collected_h2_kg,endpoint_residual_h2_kg,endpoint_uncollected_gas_h2_kg,salt_molality,water_consumed_kg,remaining_reactive_fe_kg,flow_head_bar,solid_mass_gain_kg,total_deliverable_h2_kg,gross_electricity_kwh,outlet_delivered_electricity_kwh,new_feed_heater_kwh,standalone_engineering_balance_kwh,h2_balance_error_kg,water_balance_error_kg,salt_balance_error_kg,hydrogen_recovery_balance_error_kg
inhibition_only_hypothesis,once_through,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,0.0,0.0,0.0
inhibition_only_hypothesis,once_through,6.653710653718324,5.655762585206539,19997.055029786505,89998.01236126696,0.9979480685117776,6666.666666666668,30001.987638733022,0.0,35.41565314699371,6666.666666666668,29999.999999999985,0.0,1.0,0.0018834011686853956,0.0004896843038582028,0.0,0.34951031569614177,1.0,0.9962402831632017,0.9985597520474758,0.9943098638437384,0.013413082232617694,0.011401338680266158,0.011401338680266158,0.0,0.002011743552351522,0.0,0.0,0.002011743552351522,0.0,0.011401338680266158,0.0,4.500563319309314,2.944970213493812,590.7556765856293,5.028613495466418,2.9315571312611945,0.0,0.0,0.0,243.73541403508773,-1186.8696824067526,1.4323688901640707e-17,0.0,-8.504546713083983e-13,1.3877787807814457e-17
inhibition_only_hypothesis,once_through,13.211478929066503,9.62674581662862,19994.152524215857,89992.86019522787,3.5847331124378825,13333.333333333338,60007.13980477211,0.0,70.83947483541164,13333.333333333338,59999.99999999997,0.0,2.0,0.0037396448613468214,0.0009723076639501736,0.0,0.3490276923360498,1.0,0.992548610563245,0.9971402715766171,0.9887288568849433,0.02663275614352658,0.0194063643568253,0.0194063643568253,0.0,0.007226391786701278,0.0,0.0,0.007226391786701278,0.0,0.0194063643568253,0.0,4.500958972191159,5.847475784141465,589.6570208776188,5.056998149879873,5.820843027997938,0.0,0.0,0.0,487.47082807017546,-1466.0289181302585,8.952305563525442e-19,-1.8189894035458565e-12,0.0,0.0
inhibition_only_hypothesis,once_through,19.689933557845933,12.404291736650709,19991.285123316695,89985.48900054445,7.28564182119522,20000.000000000007,90014.51099945554,0.0,106.27140057148159,20000.000000000007,89999.99999999997,0.0,3.0,0.005573438011384064,0.0014490938829598567,0.0,0.3485509061170401,1.0,0.9889150202031061,0.9957379591677651,0.9832416339200928,0.039692543260590456,0.02500556362607943,0.02500556362607943,0.0,0.01468697963451102,0.0,0.0,0.01468697963451102,0.0,0.02500556362607943,0.0,4.501235835788791,8.714876683302087,588.5716529813863,5.08521997798798,8.675184140041496,0.0,0.0,0.0,731.2062421052632,-1745.1962579014162,7.161844450820353e-18,-7.275957614183426e-12,1.7009093426167966e-12,6.938893903907228e-18
inhibition_only_hypothesis,once_through,26.10068291470835,14.336357576384046,19988.447689156314,89976.56869185051,11.764325338324296,26666.666666666675,120023.4313081495,0.0,141.71138426266302,26666.666666666675,119999.99999999996,0.0,4.0,0.00738806648852057,0.0019208972870153483,0.0,0.34807910271298464,1.0,0.9853324983672587,0.9943503020970137,0.9778373626129994,0.05261584467410227,0.02890037651108107,0.02890037651108107,0.0,0.02371546816302118,0.0,0.0,0.02371546816302118,0.0,0.02890037651108107,0.0,4.501428529673297,11.55231084368054,587.4976280878843,5.113324762554465,11.499694999006438,0.0,0.0,0.0,974.9416561403509,-2024.3716556276852,1.7904611127050882e-17,-3.637978807091713e-12,2.5513640139251947e-12,2.0816681711721685e-17
inhibition_only_hypothesis,once_through,32.451926257721475,15.669466898120348,19985.63659269642,89966.57394576805,16.78245935960112,33333.33333333334,150033.426054232,0.0,177.1593926669614,33333.33333333334,149999.99999999994,0.0,5.0,0.009185851177001351,0.0023883213060203515,0.0,0.34761167869397963,1.0,0.9817960286311382,0.9929755255705284,0.9725082659230577,0.06541918910441556,0.031587764930582844,0.031587764930582844,0.0,0.033831424173832704,0.0,0.0,0.033831424173832704,0.0,0.031587764930582844,0.0,4.501561585416076,14.363407303574231,586.4335725344125,5.141344475107615,14.297988114469815,0.0,0.0,0.0,1218.6770701754388,-2303.5550780670715,1.4323688901640707e-17,0.0,6.803637370467186e-12,1.3877787807814457e-17
inhibition_only_hypothesis,once_through,38.7495217470189,16.57833122027284,19982.84924108199,89955.84107185641,22.171190526746052,40000.000000000015,180044.15892814362,0.0,212.61540156308985,40000.000000000015,179999.99999999994,0.0,6.0,0.01096845028924594,0.0028517970752039447,0.0,0.34714820292479603,1.0,0.9783019633916286,0.9916123615435178,0.9672486596866668,0.07811438589938047,0.03341992634032361,0.03341992634032361,0.0,0.04469445955905683,0.0,0.0,0.04469445955905683,0.0,0.03341992634032361,0.0,4.501652391337647,17.150758918007547,585.378504874113,5.1693015543900716,17.072644532108168,0.0,0.0,0.0,1462.4124842105264,-2582.7465009982875,2.148553335246106e-17,0.0,3.401818685233593e-12,2.7755575615628914e-17
inhibition_only_hypothesis,once_through,44.99770660283288,17.18679413915704,19980.08375889522,89944.60829319883,27.81091246367583,46666.666666666686,210055.39170680122,0.0,248.0793930859006,46666.666666666686,209999.99999999994,0.0,7.0,0.012737063213979324,0.0033116364356346245,0.0,0.34668836356436533,1.0,0.974847601429087,0.9902598928363687,0.9620543062895648,0.09070997678651874,0.03464651456924389,0.03464651456924389,0.0,0.05606346221727483,0.0,0.0,0.05606346221727483,0.0,0.03464651456924389,0.0,4.5017132750084246,19.91624110477687,584.3317152242944,5.197211807391537,19.82553112799035,0.0,0.0,0.0,1706.1478982456144,-2861.945906556186,1.4323688901640707e-17,0.0,6.803637370467186e-12,1.3877787807814457e-17
inhibition_only_hypothesis,once_through,51.19958879500702,17.582653639081855,19977.33877053097,89933.04428906665,33.616935155925155,53333.33333333336,240066.9557109334,0.0,283.55135386158497,53333.33333333336,239999.99999999994,0.0,8.0,0.014492569694000718,0.0037680681204401868,0.0,0.3462319318795598,1.0,0.9714309004170355,0.9889174467045877,0.956921975211003,0.10321222706007874,0.035444519817952325,0.035444519817952325,0.0,0.0677677072421264,0.0,0.0,0.0677677072421264,0.0,0.035444519817952325,0.0,4.501752977314924,22.661229469027994,583.2926828912284,5.22508640152975,22.558017241967914,0.0,0.0,0.0,1949.8833122807025,-3141.1532813669583,1.4323688901640707e-17,0.0,6.803637370467186e-12,1.3877787807814457e-17
inhibition_only_hypothesis,once_through,57.35748579507414,17.828158638292543,19974.61325026314,89921.26842645761,39.5293271567816,60000.00000000003,270078.7315735424,0.0,319.0312736971239,60000.00000000003,269999.9999999999,0.0,9.0,0.016235625713439956,0.004221262685494389,0.0,0.3457787373145056,1.0,0.9680502794955166,0.9875845215132518,0.9518491415144376,0.11562580846457404,0.035939428435761166,0.035939428435761166,0.0,0.07968638002881288,0.0,0.0,0.07968638002881288,0.0,0.035939428435761166,0.0,4.501777696510495,25.386749736854217,582.2610196173222,5.252933245329991,25.271123928389642,0.0,0.0,0.0,2193.6187263157904,-3420.368615237586,0.0,0.0,6.803637370467186e-12,0.0
