scenario,mode,extent_mol,reactor_h2_mol,water_kg,salt_mol,export_h2_mol,export_water_kg,export_salt_mol,outlet_separator_gas_mol,flow_pump_kwh,feed_water_kg,feed_salt_mol,circulated_water_kg,time_days,altered_fraction_proxy,expansion_loading,crack_opening_fraction,porosity,area_factor,passivation_factor,pore_access_factor,permeability_ratio,generated_h2_kg,retained_h2_kg,dissolved_h2_kg,free_h2_kg,exported_h2_kg,outlet_collected_h2_kg,outlet_uncollected_gas_h2_kg,outlet_residual_dissolved_h2_kg,endpoint_collected_h2_kg,endpoint_residual_h2_kg,endpoint_uncollected_gas_h2_kg,salt_molality,water_consumed_kg,remaining_reactive_fe_kg,flow_head_bar,solid_mass_gain_kg,total_deliverable_h2_kg,gross_electricity_kwh,outlet_delivered_electricity_kwh,new_feed_heater_kwh,standalone_engineering_balance_kwh,h2_balance_error_kg,water_balance_error_kg,salt_balance_error_kg,hydrogen_recovery_balance_error_kg
inhibition_only_hypothesis,stationary,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,0.0,0.0,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,0.0,0.0,0.0
inhibition_only_hypothesis,stationary,6.650166877317204,6.650166877317204,19997.056598282117,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0018823980663620777,0.0004894234972541402,0.0,0.34951057650274586,1.0,0.9962422818270917,0.9985605191257232,0.994312887041812,0.013405938404646205,0.013405938404646205,0.013405938404646205,0.0,0.0,0.0,0.0,0.0,0.0,0.013405938404646205,0.0,4.500662362866524,2.943401717884712,590.7562702922087,0.0,2.9299957794800657,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,3.637978807091713e-12,0.0,0.0
inhibition_only_hypothesis,stationary,13.185915542909594,13.185915542909594,19994.163838716097,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0037324088822264226,0.0009704263093788699,0.0,0.3490295736906211,1.0,0.992562974789228,0.997145804972415,0.9887505606321962,0.02658122342464059,0.02658122342464059,0.02658122342464059,0.0,0.0,0.0,0.0,0.0,0.0,0.02658122342464059,0.0,4.501313519584485,5.836161283901503,589.6613036395186,0.0,5.809580060476862,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,-3.637978807091713e-12,0.0,0.0
inhibition_only_hypothesis,stationary,19.611707802381023,19.611707802381023,19991.31974648139,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.005551295407515112,0.0014433368059539292,0.0,0.34855666319404605,1.0,0.9889588154799452,0.9957548917471943,0.9833077354254831,0.03953484952466385,0.03953484952466385,0.03953484952466385,0.0,0.0,0.0,0.0,0.0,0.0,0.03953484952466385,0.0,4.501953905061251,8.680253518610748,588.5847585333281,0.0,8.640718669086084,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,0.0,0.0,0.0
inhibition_only_hypothesis,stationary,25.931732797175716,25.931732797175716,19988.522467440132,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.007340243421758164,0.0019084632896571227,0.0,0.3480915367103429,1.0,0.9854267461181084,0.9943868726774792,0.9779794619432852,0.05227526151117058,0.05227526151117058,0.05227526151117058,0.0,0.0,0.0,0.0,0.0,0.0,0.05227526151117058,0.0,4.502583927681675,11.47753255986355,587.5259331458251,0.0,11.42525729835238,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,-3.637978807091713e-12,0.0,0.0
inhibition_only_hypothesis,stationary,32.14992952710421,32.14992952710421,19985.7702581686,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.00910036789932593,0.0023660956538247417,0.0,0.34763390434617525,1.0,0.9819638972657626,0.9930408951358096,0.972761098206888,0.06481039993509884,0.06481039993509884,0.06481039993509884,0.0,0.0,0.0,0.0,0.0,0.0,0.06481039993509884,0.0,4.5032039714964265,14.229741831399943,586.4841675566765,0.0,14.164931431464845,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,0.0,0.0,0.0
inhibition_only_hypothesis,stationary,38.27000704680931,38.27000704680931,19983.061477018076,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.010832718726246297,0.0028165068688240373,0.0,0.3471834931311759,1.0,0.9785675723506702,0.9917161562681646,0.9676482843413395,0.07714774180552195,0.07714774180552195,0.07714774180552195,0.0,0.0,0.0,0.0,0.0,0.0,0.07714774180552195,0.0,4.503814398184498,16.93852298191969,585.4588403694128,0.0,16.861375240114167,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,-3.637978807091713e-12,0.0,0.0
inhibition_only_hypothesis,stationary,44.29546262253567,44.29546262253567,19980.394576078623,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.012538285839664898,0.0032599543183128737,0.0,0.3467400456816871,1.0,0.975235233769658,0.9904118990637857,0.9626369197817767,0.0892943371915172,0.0892943371915172,0.0892943371915172,0.0,0.0,0.0,0.0,0.0,0.0,0.0892943371915172,0.0,4.50441554881763,19.605423921371862,584.4493656695334,0.0,19.516129584180344,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,-3.637978807091713e-12,0.0,0.0
inhibition_only_hypothesis,stationary,50.229598094867185,50.229598094867185,19977.7680939368,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.014218003859486048,0.003696681003466373,0.0,0.3463033189965336,1.0,0.9719644903808935,0.9891274088133342,0.9577231427654089,0.10125684220748085,0.10125684220748085,0.10125684220748085,0.0,0.0,0.0,0.0,0.0,0.0,0.10125684220748085,0.0,4.505007745450542,22.231906063195574,583.4551902831764,0.0,22.130649220988094,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,-3.637978807091713e-12,0.0,0.0
inhibition_only_hypothesis,stationary,56.07553465892294,56.07553465892294,19975.18064913388,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.015872756272059082,0.004126916630735361,0.0,0.3458730833692646,1.0,0.9687530862200512,0.9878620099096018,0.9529033118369592,0.11304154880822957,0.11304154880822957,0.11304154880822957,0.0,0.0,0.0,0.0,0.0,0.004620717352992361,0.10790741841601584,0.0005134130392213733,4.505591292557466,24.819350866118825,582.4757913009172,0.0,24.706309317310595,0.004620717352992361,0.0770042546876177,0.0,0.0,-907.6416109699837,0.0,-3.637978807091713e-12,0.0,1.3877787807814457e-17
