scenario,mode,extent_mol,reactor_h2_mol,water_kg,salt_mol,export_h2_mol,export_water_kg,export_salt_mol,outlet_separator_gas_mol,flow_pump_kwh,feed_water_kg,feed_salt_mol,circulated_water_kg,time_days,altered_fraction_proxy,expansion_loading,crack_opening_fraction,porosity,area_factor,passivation_factor,pore_access_factor,permeability_ratio,generated_h2_kg,retained_h2_kg,dissolved_h2_kg,free_h2_kg,exported_h2_kg,outlet_collected_h2_kg,outlet_uncollected_gas_h2_kg,outlet_residual_dissolved_h2_kg,endpoint_collected_h2_kg,endpoint_residual_h2_kg,endpoint_uncollected_gas_h2_kg,salt_molality,water_consumed_kg,remaining_reactive_fe_kg,flow_head_bar,solid_mass_gain_kg,total_deliverable_h2_kg,gross_electricity_kwh,outlet_delivered_electricity_kwh,new_feed_heater_kwh,standalone_engineering_balance_kwh,h2_balance_error_kg,water_balance_error_kg,salt_balance_error_kg,hydrogen_recovery_balance_error_kg
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,6666.666666666659,29999.999999999978,0.0,35.411541265318995,6666.666666666659,29999.999999999978,0.0,1.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,243.73541403508742,-1186.8655705250776,0.0,-1.8189894035458565e-12,-4.2522733565419915e-13,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,13333.333333333328,59999.99999999997,0.0,70.82308253063805,13333.333333333328,59999.99999999997,0.0,2.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,487.4708280701753,-1466.0125258254848,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,19999.999999999996,89999.99999999996,0.0,106.23462379595709,19999.999999999996,89999.99999999996,0.0,3.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,731.206242105263,-1745.1594811258915,0.0,3.637978807091713e-12,-8.504546713083983e-13,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,26666.666666666664,119999.99999999994,0.0,141.64616506127615,26666.666666666664,119999.99999999994,0.0,4.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,974.9416561403507,-2024.3064364262982,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,33333.333333333336,149999.99999999994,0.0,177.0577063265952,33333.333333333336,149999.99999999994,0.0,5.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,1218.6770701754385,-2303.4533917267054,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,40000.0,179999.99999999994,0.0,212.46924759191424,40000.0,179999.99999999994,0.0,6.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,1462.4124842105261,-2582.6003470271116,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,46666.66666666667,209999.99999999994,0.0,247.88078885723328,46666.66666666667,209999.99999999994,0.0,7.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,1706.1478982456142,-2861.747302327519,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,53333.33333333334,239999.99999999994,0.0,283.2923301225523,53333.33333333334,239999.99999999994,0.0,8.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,1949.8833122807018,-3140.894257627925,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,60000.000000000015,269999.99999999994,0.0,318.70387138787135,60000.000000000015,269999.99999999994,0.0,9.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,2193.61872631579,-3420.0412129283322,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,66666.66666666669,299999.9999999999,0.0,354.1154126531904,66666.66666666669,299999.9999999999,0.0,10.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,2437.3541403508775,-3699.1881682287394,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,73333.33333333336,329999.9999999999,0.0,389.52695391850943,73333.33333333336,329999.9999999999,0.0,11.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,2681.0895543859656,-3978.3351235291466,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,80000.00000000003,359999.9999999999,0.0,424.9384951838285,80000.00000000003,359999.9999999999,0.0,12.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,2924.8249684210527,-4257.482078829552,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,86666.6666666667,389999.9999999999,0.0,460.3500364491475,86666.6666666667,389999.9999999999,0.0,13.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,3168.560382456141,-4536.629034129959,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,93333.33333333337,419999.9999999999,0.0,495.76157771446657,93333.33333333337,419999.9999999999,0.0,14.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,3412.295796491229,-4815.775989430366,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,100000.00000000004,449999.9999999999,0.0,531.1731189797856,100000.00000000004,449999.9999999999,0.0,15.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,3656.0312105263165,-5094.922944730773,0.0,0.0,0.0,0.0
zero_source,once_through,0.0,0.0,20000.0,90000.0,0.0,106666.66666666672,479999.9999999999,0.0,566.5846602451047,106666.66666666672,479999.9999999999,0.0,16.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,3899.766624561405,-5374.069900031181,0.0,0.0,0.0,0.0
