scenario,mode,extent_mol,reactor_h2_mol,water_kg,salt_mol,export_h2_mol,export_water_kg,export_salt_mol,outlet_separator_gas_mol,flow_pump_kwh,feed_water_kg,feed_salt_mol,circulated_water_kg,time_days,altered_fraction_proxy,expansion_loading,crack_opening_fraction,porosity,area_factor,passivation_factor,pore_access_factor,permeability_ratio,generated_h2_kg,retained_h2_kg,dissolved_h2_kg,free_h2_kg,exported_h2_kg,outlet_collected_h2_kg,outlet_uncollected_gas_h2_kg,outlet_residual_dissolved_h2_kg,endpoint_collected_h2_kg,endpoint_residual_h2_kg,endpoint_uncollected_gas_h2_kg,salt_molality,water_consumed_kg,remaining_reactive_fe_kg,flow_head_bar,solid_mass_gain_kg,total_deliverable_h2_kg,gross_electricity_kwh,outlet_delivered_electricity_kwh,new_feed_heater_kwh,standalone_engineering_balance_kwh,h2_balance_error_kg,water_balance_error_kg,salt_balance_error_kg,hydrogen_recovery_balance_error_kg
zero_source,recirculating,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-907.7186152246713,0.0,0.0,0.0,0.0
zero_source,recirculating,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,1.4278847284402847,0.0,0.0,6666.666666666658,1.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-909.1464999531116,0.0,0.0,0.0,0.0
zero_source,recirculating,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,2.8557694568805694,0.0,0.0,13333.333333333327,2.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-910.5743846815519,0.0,0.0,0.0,0.0
zero_source,recirculating,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,4.283654185320854,0.0,0.0,19999.999999999996,3.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-912.0022694099921,0.0,0.0,0.0,0.0
zero_source,recirculating,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,5.711538913761139,0.0,0.0,26666.666666666664,4.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-913.4301541384325,0.0,0.0,0.0,0.0
zero_source,recirculating,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,7.1394236422014234,0.0,0.0,33333.33333333333,5.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-914.8580388668727,0.0,0.0,0.0,0.0
zero_source,recirculating,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,8.567308370641708,0.0,0.0,40000.0,6.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-916.285923595313,0.0,0.0,0.0,0.0
zero_source,recirculating,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,9.995193099081993,0.0,0.0,46666.66666666667,7.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-917.7138083237533,0.0,0.0,0.0,0.0
zero_source,recirculating,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,11.423077827522278,0.0,0.0,53333.33333333334,8.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-919.1416930521935,0.0,0.0,0.0,0.0
zero_source,recirculating,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,12.850962555962562,0.0,0.0,60000.000000000015,9.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-920.5695777806338,0.0,0.0,0.0,0.0
zero_source,recirculating,0.0,0.0,20000.0,90000.0,0.0,0.0,0.0,0.0,14.278847284402847,0.0,0.0,66666.66666666669,10.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,591.8704059999999,5.0,0.0,0.0,0.0,0.0,0.0,-921.9974625090741,0.0,0.0,0.0,0.0
