scenario,time_days,generated_h2_kg,dissolved_reactor_h2_kg,free_reactor_h2_kg,retained_separator_h2_kg,uncollected_separator_h2_kg,collected_h2_kg,remaining_reactive_fe_kg,water_remaining_kg,salt_kg,salt_molality,free_h2_volume_m3_ideal,gross_electricity_kwh,average_gross_power_kw,initial_pump_electricity_kwh,sensible_heat_kwh_thermal,heater_electricity_kwh,standalone_balance_kwh,warm_pressurized_balance_kwh,h2_ledger_error_kg
zero,3.0,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
zero,365.0,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
zero,3650.0,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,3.0,0.0040561676575130556,0.0040561676575130556,0.0,0.0040561676575130556,0.0,0.0,591.5333075375411,19999.963751316507,5259.852,4.500008155968568,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
ten_year_assumption,365.0,0.4769212243911741,0.4769212243911741,0.0,0.1080860718625147,0.036883515252865935,0.3319516372757935,552.2346155122848,19995.737906326096,5259.852,4.500959175481416,0.0,5.531974035201099,0.0006315038852969291,101.95096961063628,765.4792633333333,805.767645614035,-902.1866411894702,1.2483198498802475,-1.4323688901640707e-17
ten_year_assumption,3650.0,3.560867024941892,1.2713404456688024,2.28952657927309,0.10784658800957095,0.34530204369323203,3.107718393239089,295.93520299999994,19968.177661122143,5259.852,4.50717143684219,0.25429517080022207,51.79012702332942,0.0005912114957001075,101.95096961063628,765.4792633333333,805.767645614035,-855.9284882013419,47.50647283800857,1.0026582231148495e-16
exploratory_assumption,3.0,0.04045787615518957,0.04045787615518957,0.0,0.04045787615518957,0.0,0.0,588.5080479818344,19999.638440796505,5259.852,4.5000813522914695,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
exploratory_assumption,365.0,3.560867024941892,1.2713404456688024,2.28952657927309,0.10784658800957095,0.34530204369323203,3.107718393239089,295.93520299999994,19968.177661122143,5259.852,4.50717143684219,0.25429517080022207,51.79012702332942,0.005912114957001075,101.95096961063628,765.4792633333333,805.767645614035,-855.9284882013419,47.50647283800857,1.0026582231148495e-16
exploratory_assumption,3650.0,7.114779231475695,1.268089821711581,5.846689409764114,0.10757089488592336,0.700720833658977,6.306487502930794,0.5779984433593794,19936.417475249906,5259.852,4.514351693915451,0.6493852901868733,105.09761423634167,0.0011997444547527589,101.95096961063628,765.4792633333333,805.767645614035,-802.6210009883296,100.81396005102081,3.0079746693445486e-16
accelerated_target,3.0,3.560867024941892,1.2713404456688024,2.28952657927309,0.10784658800957095,0.34530204369323203,3.107718393239089,295.93520299999994,19968.177661122143,5259.852,4.50717143684219,0.25429517080022207,51.79012702332942,0.7193073197684642,101.95096961063628,765.4792633333333,805.767645614035,-855.9284882013419,47.50647283800857,1.0026582231148495e-16
accelerated_target,365.0,7.121734049883784,1.2680834639599485,5.853650585923837,0.1075703556697357,0.7014163694214047,6.312747324792645,0.0,19936.355322244286,5259.852,4.514365767727924,0.6501584602808711,105.20193416766942,0.012009353215487377,101.95096961063628,765.4792633333333,805.767645614035,-802.5166810570018,100.91827998234857,-6.588896894754725e-16
accelerated_target,3650.0,7.121734049883784,1.2680834639599485,5.853650585923837,0.1075703556697357,0.7014163694214047,6.312747324792645,0.0,19936.355322244286,5259.852,4.514365767727924,0.6501584602808711,105.20193416766942,0.0012009353215487377,101.95096961063628,765.4792633333333,805.767645614035,-802.5166810570018,100.91827998234857,-6.588896894754725e-16
