scenario,time_days,generated_h2_kg,dissolved_reactor_h2_kg,free_reactor_h2_kg,retained_separator_h2_kg,uncollected_separator_h2_kg,collected_h2_kg,remaining_reactive_fe_kg,water_remaining_kg,salt_kg,salt_molality,free_h2_volume_m3_ideal,gross_electricity_kwh,average_gross_power_kw,initial_pump_electricity_kwh,sensible_heat_kwh_thermal,heater_electricity_kwh,standalone_balance_kwh,warm_pressurized_balance_kwh,h2_ledger_error_kg
zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
zero,0.05,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
zero,0.053227909007787386,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
zero,0.05666420594682587,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
zero,0.06032234396272345,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
zero,0.06421664471168594,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
zero,0.0683623544299806,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
zero,0.07277570362314238,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
zero,0.07747397060860652,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
zero,0.08247554916053804,0.0,0.0,0.0,0.0,0.0,0.0,591.8704059999999,20000.0,5259.852,4.5,0.0,0.0,0.0,101.95096961063628,765.4792633333333,805.767645614035,-907.7186152246713,-4.283654185320851,0.0
